poly_id,vertex_index,xcoord,ycoord
"3","0",-168.182698602836,-84.2175423406563
"3","1",-174.734060329581,-82.750171391013
"3","2",-155.57381825963,-82.4883011997584
"3","3",-157.465659161399,-81.069360600189
"3","4",-151.048531760589,-80.4964099545104
"3","5",-150.915184782092,-79.9860960474145
"3","6",-155.932547230044,-80.2955329524905
"3","7",-158.880664704636,-78.1029610745082
"3","8",-158.487151502506,-76.7386131122675
"3","9",-128.631501125296,-74.2890470613899
"3","10",-127.301099642902,-72.805125585375
"3","11",-106.621234563669,-74.8406468982353
"3","12",-101.770436759208,-74.6267132000142
"3","13",-103.836045927925,-72.6253621210185
"3","14",-100.20372275587,-71.3331330985476
"3","15",-76.5808388865989,-73.0413270804602
"3","16",-76.065946475664,-69.5210136422809
"3","17",-72.1980852891238,-70.5892219756983
"3","18",-73.4573212709473,-69.5308184765919
"3","19",-72.1936335911834,-68.5140853086526
"3","20",-67.884781287478,-68.8673487273101
"3","21",-69.6016012280934,-67.7136063571172
"3","22",-68.6844748216239,-66.4309760750213
"3","23",-64.5488583555856,-65.1578707879163
"3","24",-62.767060908833,-62.4851994224991
"3","25",-61.4224816819594,-63.6452159453455
"3","26",-61.4519256302493,-62.188712714581
"3","27",-57.6977610947535,-61.4228122599502
"3","28",-60.1529935081106,-63.4170961470341
"3","29",-56.455551539919,-62.4833182516023
"3","30",-54.6572136913225,-63.5987091254644
"3","31",-64.526982663738,-67.7049000403323
"3","32",-60.05342357342,-70.2429978455276
"3","33",-60.3498561363038,-74.6597927160639
"3","34",-77.0321214180552,-78.8218326770988
"3","35",-74.8229144868671,-80.3825034904773
"3","36",-67.0909477647639,-77.8185196925401
"3","37",-65.0164996039457,-79.8813708288858
"3","38",-59.7296196324305,-79.2980538653866
"3","39",-59.5144906820408,-81.1248113089324
"3","40",-61.7302810703185,-81.4015024257224
"3","41",-60.1045727021511,-81.9335675945495
"3","42",-60.7211849181354,-82.9333055756471
"3","43",-45.0932001404746,-81.940309597503
"3","44",-32.9171416202149,-80.0239072038574
"3","45",-37.0971417888066,-79.2224967773944
"3","46",-33.7058074966494,-76.8245514829938
"3","47",-19.1851253725617,-75.0035669421262
"3","48",-16.6732799194498,-72.0235176636099
"3","49",-13.4065416820291,-72.2885094845508
"3","50",-10.2978377153299,-70.4364843335345
"3","51",-2.77482860242552,-69.7893953968116
"3","52",-0.449452636626182,-71.1345451160571
"3","53",0.980014274090773,-69.551994440903
"3","54",16.2747919100082,-69.2057604309555
"3","55",25.5038496824323,-70.4839683597698
"3","56",32.3232607264665,-69.5438916829036
"3","57",33.4388473661154,-68.1714206815639
"3","58",38.6449904686691,-69.554027579889
"3","59",53.6116338844991,-65.3623218218582
"3","60",69.7876732814381,-67.3184469553568
"3","61",69.2160807595677,-71.8424847158673
"3","62",78.8777627482941,-67.7008094563673
"3","63",92.2896945593128,-65.2068768400443
"3","64",99.3568338105184,-66.1392725699516
"3","65",102.858642799835,-64.6308604519205
"3","66",116.115316321907,-66.652614124084
"3","67",135.293357337978,-65.630593774101
"3","68",170.677447768132,-70.9810532873194
"3","69",170.080653674573,-74.045242174089
"3","70",163.173347103123,-75.117319231371
"3","71",164.936147230288,-77.7304957589288
"3","72",166.761997791629,-76.663801677254
"3","73",169.709640744098,-77.8748753389209
"3","74",161.145572515641,-79.5011663533672
"3","75",161.259895045212,-80.9790284700727
"3","76",180.263256367308,-83.9264788787304
"3","77",180.5,-89.99892578125
"3","78",-180.475528258148,-90.1534342784375
"3","79",-180.157826379312,-83.8771251132005
"3","80",-168.182698602836,-84.2175423406563
"6","0",33.37981675829,-26.9285386696931
"6","1",27.3220917251252,-33.9572489958804
"6","2",18.1080677031567,-34.7004283905933
"6","3",11.2828700107236,-18.0850778516972
"6","4",13.3399871375659,-11.0694442378945
"6","5",11.6103760765647,-5.30099380607343
"6","6",8.24504314963546,-0.791417766621804
"6","7",9.4142049140062,3.07610246940278
"6","8",4.07596503939528,5.91118267935125
"6","9",-7.85343701255773,3.90572648976145
"6","10",-16.7121814525114,10.9583337244102
"6","11",-18.0349494617587,14.7287719465859
"6","12",-16.53205331487,17.911078807678
"6","13",-17.4252786767967,21.9744953287854
"6","14",-13.6317150798745,27.8541197109585
"6","15",-18.0667735551984,27.1531578678252
"6","16",-18.4644068234708,28.9454719510523
"6","17",-14.9372663954789,28.3190773109662
"6","18",-13.420559099486,29.7353532944245
"6","19",-13.4641492949278,28.0667654981549
"6","20",-10.8158791757746,29.4460357659887
"6","21",-6.42348743856007,35.8664461510338
"6","22",-9.45585414855162,36.8318036919471
"6","23",-9.63964839241686,43.3662500881602
"6","24",-1.83245049902645,44.139114203715
"6","25",-1.88529838188809,46.0141996239977
"6","26",-5.26185314831601,48.4756691925792
"6","27",-2.11311632099954,50.1085427222782
"6","28",-6.1311789209829,49.9242068472659
"6","29",-5.25561758811609,53.9201981592435
"6","30",-6.14351444929747,51.7807794890817
"6","31",-10.8188179512026,51.6314615331716
"6","32",-10.4481606189384,54.5684905695024
"6","33",-6.98644165966317,55.7811543141261
"6","34",-7.32534757082094,58.6245989437706
"6","35",-2.08925205662464,59.6836251877437
"6","36",-2.0469112340056,56.3939928094914
"6","37",2.31870516944391,51.5534686137489
"6","38",4.94812528940078,53.8292705206866
"6","39",8.16266395917678,54.1612004238581
"6","40",7.83335762477219,57.0687866048259
"6","41",10.782426229201,58.2023650020154
"6","42",5.39437307348859,58.1332907079125
"6","43",4.74598802191439,62.4636409239197
"6","44",14.1641014038141,67.7027772934331
"6","45",12.5562216341265,67.3990054725305
"6","46",12.7319000035669,68.4615812593434
"6","47",18.92441882222,70.698687396427
"6","48",28.1667052565236,71.5423918847076
"6","49",43.4635785565248,66.8687230238184
"6","50",43.2813500866053,69.1706926658357
"6","51",46.1806186993811,68.8879701675715
"6","52",46.5111123358878,67.3153099555745
"6","53",48.7784013928342,69.9902818323261
"6","54",50.7059090954401,68.8324028500611
"6","55",58.68029443306,69.4727835478713
"6","56",50.9332592526938,71.8935399504419
"6","57",58.8074127584717,76.3493031657941
"6","58",69.2135010959955,77.1592038900461
"6","59",56.010488854168,72.2784540055662
"6","60",58.1106861321449,70.6115368012676
"6","61",66.3373533305281,69.4863980249745
"6","62",66.2138439769471,71.3434853268947
"6","63",70.0685798387791,73.938117091655
"6","64",73.2051827539907,72.1318089534593
"6","65",77.0094496482282,73.8768355755272
